match_id,batting_team,bowling_team,ball,runs,player_dismissed,city,venue
16,Australia,South Africa,3.3,1,0,Cape Town,Newlands
16,Australia,South Africa,3.4,4,0,Cape Town,Newlands
16,Australia,South Africa,3.5,4,0,Cape Town,Newlands
16,Australia,South Africa,3.6,4,0,Cape Town,Newlands
16,Australia,South Africa,4.1,4,0,Cape Town,Newlands
16,Australia,South Africa,4.2,4,0,Cape Town,Newlands
16,Australia,South Africa,4.3,1,0,Cape Town,Newlands
16,Australia,South Africa,4.4,1,0,Cape Town,Newlands
16,Australia,South Africa,4.5,1,0,Cape Town,Newlands
16,Australia,South Africa,4.6,1,0,Cape Town,Newlands
16,Australia,South Africa,4.7,1,0,Cape Town,Newlands
16,Australia,South Africa,5.1,6,0,Cape Town,Newlands
16,Australia,South Africa,5.2,1,0,Cape Town,Newlands
16,Australia,South Africa,5.3,1,0,Cape Town,Newlands
16,Australia,South Africa,5.4,1,0,Cape Town,Newlands
16,Australia,South Africa,5.5,0,0,Cape Town,Newlands
16,Australia,South Africa,5.6,1,0,Cape Town,Newlands
16,Australia,South Africa,5.7,2,0,Cape Town,Newlands
16,Australia,South Africa,6.1,1,0,Cape Town,Newlands
16,Australia,South Africa,6.2,4,0,Cape Town,Newlands
16,Australia,South Africa,6.3,0,0,Cape Town,Newlands
16,Australia,South Africa,6.4,2,0,Cape Town,Newlands
16,Australia,South Africa,6.5,1,0,Cape Town,Newlands
16,Australia,South Africa,6.6,1,0,Cape Town,Newlands
16,Australia,South Africa,7.1,1,0,Cape Town,Newlands
16,Australia,South Africa,7.2,1,0,Cape Town,Newlands
16,Australia,South Africa,7.3,1,0,Cape Town,Newlands
16,Australia,South Africa,7.4,2,0,Cape Town,Newlands
16,Australia,South Africa,7.5,1,0,Cape Town,Newlands
16,Australia,South Africa,7.6,1,0,Cape Town,Newlands
16,Australia,South Africa,7.7,1,0,Cape Town,Newlands
16,Australia,South Africa,7.8,1,0,Cape Town,Newlands
16,Australia,South Africa,8.1,0,0,Cape Town,Newlands
16,Australia,South Africa,8.2,4,0,Cape Town,Newlands
16,Australia,South Africa,8.3,1,0,Cape Town,Newlands
16,Australia,South Africa,8.4,1,0,Cape Town,Newlands
16,Australia,South Africa,8.5,2,0,Cape Town,Newlands
16,Australia,South Africa,8.6,1,0,Cape Town,Newlands
16,Australia,South Africa,9.1,1,0,Cape Town,Newlands
16,Australia,South Africa,9.2,2,0,Cape Town,Newlands
16,Australia,South Africa,9.3,1,0,Cape Town,Newlands
16,Australia,South Africa,9.4,6,0,Cape Town,Newlands
16,Australia,South Africa,9.5,1,0,Cape Town,Newlands
16,Australia,South Africa,9.6,1,0,Cape Town,Newlands
16,Australia,South Africa,10.1,1,0,Cape Town,Newlands
16,Australia,South Africa,10.2,2,0,Cape Town,Newlands
16,Australia,South Africa,10.3,1,0,Cape Town,Newlands
16,Australia,South Africa,10.4,1,0,Cape Town,Newlands
16,Australia,South Africa,10.5,0,0,Cape Town,Newlands
16,Australia,South Africa,10.6,0,0,Cape Town,Newlands
16,Australia,South Africa,11.1,1,0,Cape Town,Newlands
16,Australia,South Africa,11.2,0,0,Cape Town,Newlands
16,Australia,South Africa,11.3,0,DA Warner,Cape Town,Newlands
16,Australia,South Africa,11.4,0,0,Cape Town,Newlands
16,Australia,South Africa,11.5,0,0,Cape Town,Newlands
16,Australia,South Africa,11.6,1,0,Cape Town,Newlands
16,Australia,South Africa,12.1,1,0,Cape Town,Newlands
16,Australia,South Africa,12.2,0,0,Cape Town,Newlands
16,Australia,South Africa,12.3,1,0,Cape Town,Newlands
16,Australia,South Africa,12.4,0,AJ Finch,Cape Town,Newlands
